CMDLINE python ./caller.py
MEM 0.796875 1476695313.9742
MEM 16.066406 1476695314.0746
MEM 19.160156 1476695314.1749
MEM 21.996094 1476695314.2753
MEM 24.058594 1476695314.3756
MEM 26.378906 1476695314.4759
MEM 28.957031 1476695314.5762
MEM 31.277344 1476695314.6765
MEM 33.597656 1476695314.7767
MEM 35.917969 1476695314.8770
MEM 36.175781 1476695314.9773
MEM 38.496094 1476695315.0776
MEM 40.816406 1476695315.1779
MEM 42.878906 1476695315.2782
MEM 44.941406 1476695315.3785
MEM 47.003906 1476695315.4787
MEM 48.550781 1476695315.5790
MEM 48.550781 1476695315.6793
MEM 50.097656 1476695315.7796
MEM 52.160156 1476695315.8799
MEM 54.222656 1476695315.9802
MEM 56.285156 1476695316.0804
MEM 58.347656 1476695316.1807
MEM 60.152344 1476695316.2810
MEM 60.925781 1476695316.3814
MEM 60.925781 1476695316.4816
MEM 61.183594 1476695316.5819
MEM 63.246094 1476695316.6822
MEM 65.050781 1476695316.7824
MEM 67.007812 1476695316.8827
MEM 69.070312 1476695316.9829
MEM 70.839844 1476695317.0832
MEM 72.644531 1476695317.1835
MEM 73.417969 1476695317.2838
MEM 73.417969 1476695317.3841
MEM 73.417969 1476695317.4843
MEM 74.191406 1476695317.5846
MEM 75.996094 1476695317.6849
MEM 77.800781 1476695317.7851
MEM 79.503906 1476695317.8854
MEM 81.308594 1476695317.9856
MEM 83.113281 1476695318.0859
MEM 84.917969 1476695318.1862
MEM 86.722656 1476695318.2866
MEM 88.449219 1476695318.3870
MEM 89.480469 1476695318.4874
MEM 89.480469 1476695318.5878
MEM 89.480469 1476695318.6882
MEM 89.480469 1476695318.7886
MEM 89.480469 1476695318.8889
MEM 91.285156 1476695318.9892
MEM 92.832031 1476695319.0897
MEM 94.570312 1476695319.1900
MEM 96.371094 1476695319.2903
MEM 97.917969 1476695319.3906
MEM 99.722656 1476695319.4909
MEM 101.269531 1476695319.5912
MEM 102.816406 1476695319.6915
MEM 104.621094 1476695319.7918
MEM 106.320312 1476695319.8921
MEM 107.867188 1476695319.9924
MEM 109.671875 1476695320.0927
MEM 109.671875 1476695320.1930
MEM 109.671875 1476695320.2933
MEM 109.671875 1476695320.3936
MEM 109.671875 1476695320.4940
MEM 109.671875 1476695320.5943
MEM 110.187500 1476695320.6946
MEM 111.734375 1476695320.7949
MEM 113.539062 1476695320.8952
MEM 115.085938 1476695320.9955
MEM 116.632812 1476695321.0958
MEM 118.179688 1476695321.1961
MEM 119.984375 1476695321.2964
MEM 121.531250 1476695321.3967
MEM 123.078125 1476695321.4969
MEM 124.625000 1476695321.5972
MEM 126.230469 1476695321.6975
MEM 127.765625 1476695321.7978
MEM 129.312500 1476695321.8981
MEM 130.859375 1476695321.9983
MEM 132.406250 1476695322.0986
MEM 133.953125 1476695322.1989
MEM 134.726562 1476695322.2992
MEM 134.726562 1476695322.3995
MEM 134.726562 1476695322.4998
MEM 134.726562 1476695322.6001
MEM 134.726562 1476695322.7004
MEM 134.726562 1476695322.8007
MEM 134.726562 1476695322.9011
MEM 135.242188 1476695323.0015
MEM 136.789062 1476695323.1019
MEM 138.335938 1476695323.2022
MEM 139.722656 1476695323.3025
MEM 141.304688 1476695323.4028
MEM 142.851562 1476695323.5032
MEM 144.140625 1476695323.6036
MEM 145.687500 1476695323.7039
MEM 147.234375 1476695323.8043
MEM 148.781250 1476695323.9046
MEM 150.070312 1476695324.0049
MEM 151.617188 1476695324.1052
MEM 153.042969 1476695324.2055
MEM 154.332031 1476695324.3058
MEM 155.878906 1476695324.4061
MEM 157.167969 1476695324.5064
MEM 158.714844 1476695324.6067
MEM 160.199219 1476695324.7071
MEM 161.488281 1476695324.8073
MEM 163.035156 1476695324.9076
MEM 164.277344 1476695325.0079
MEM 165.566406 1476695325.1083
MEM 166.339844 1476695325.2086
MEM 166.339844 1476695325.3089
MEM 166.339844 1476695325.4093
MEM 166.339844 1476695325.5096
MEM 166.339844 1476695325.6099
MEM 166.339844 1476695325.7102
MEM 166.339844 1476695325.8105
MEM 166.339844 1476695325.9108
MEM 166.339844 1476695326.0111
MEM 166.339844 1476695326.1114
MEM 167.628906 1476695326.2116
MEM 168.917969 1476695326.3119
MEM 170.207031 1476695326.4122
MEM 171.425781 1476695326.5125
MEM 172.972656 1476695326.6127
